,City,Latitude,Longitude,Value,Year,VAL
0,Tokyo,35.6895,139.69171,38001,2015,1
0,Tokyo,35.6895,139.69171,28549,1980,0.751269703
1,Delhi,28.66667,77.21667,25703,2015,0.676376937
2,Shanghai,31.22,121.46,23741,2015,0.624746717
0,Tokyo,35.6895,139.69171,23000,1975,0.60524723
3,SÃƒo Paulo,-23.55,-46.64,21066,2015,0.554353833
4,Mumbai,19.073975,72.880838,21043,2015,0.553748586
5,Mexico City,19.427318,-99.141869,20999,2015,0.552590721
393,Tokyo,35.6895,139.69171,20450,1970,0.538143733
6,Beijing,39.91,116.4,20384,2015,0.536406937
7,Osaka,34.675834,135.553823,20238,2015,0.532564933
8,Cairo,30.04,31.24,18772,2015,0.493987
9,New York,40.717042,-74.003663,18593,2015,0.489276598
1153,Philadelphia,39.95,-75.1667,17600,1914,0.463145707
10,Dhaka,23.71,90.41,17598,2015,0.463093076
394,New York,40.714353,-74.005972,17252,1970,0.453988053
1,New York,40.714353,-74.005972,17100,1975,0.449988158
7,Osaka,34.675834,135.553823,17028,1980,0.448093471
11,Karachi,24.9056,67.0822,16618,2015,0.437304281
9,New York,40.717042,-74.003663,15601,1980,0.410541828
2,Osaka,34.693216,135.502082,15500,1975,0.407884003
12,Buenos Aires,-34.61,-58.4,15180,2015,0.399463172
13,Calcutta,22.533455,88.356045,14865,2015,0.391173916
14,Istanbul,41.0138,28.9497,14164,2015,0.372727033
15,Chongqing,29.56,106.55,13332,2015,0.350832873
16,Lagos,6.45306,3.39583,13123,2015,0.345333018
5,Mexico City,19.427318,-99.141869,13028,1980,0.342833083
17,Manila,14.6042,120.9822,12946,2015,0.340675245
18,Rio de Janeiro,-22.9,-43.21,12902,2015,0.339517381
467,New York,40.714353,-74.005972,12463,1950,0.327965054
19,"Guangzhou, Guangdong",23.13,113.26,12458,2015,0.327833478
20,Los Angeles,34.031656,-118.241716,12310,2015,0.323938844
21,Moscow,55.754996,37.621849,12166,2015,0.32014947
3,SÃƒo Paulo,-23.55,-46.64,12089,1980,0.318123207
395,Osaka,34.693216,135.502082,12000,1970,0.315781164
22,Kinshasa,-4.33,15.31,11587,2015,0.304913029
3,Mexico City,19.42847,-99.12766,11300,1975,0.297360596
23,Tianjin,39.11,117.19,11210,2015,0.294992237
396,London,51.511214,-0.119825,10875,1970,0.28617668
24,Paris,48.85341,2.3488,10843,2015,0.285334596
25,Shenzhen,22.54,114.06,10749,2015,0.282860977
4,Moscow,55.75222,37.61556,10700,1975,0.281571538
5,London,51.511214,-0.119825,10500,1975,0.276308518
26,Jakarta,-6.211831,106.841646,10323,2015,0.271650746
27,London,51.50853,-0.12574,10313,2015,0.271387595
28,Bangalore,12.97194,77.59369,10087,2015,0.265440383
6,Sao Paolo,-23.5475,-46.63611,10000,1975,0.26315097
29,Lima,-12.04318,-77.02824,9897,2015,0.260440515
30,Chennai (Madras),13.053091,80.24875,9890,2015,0.260256309
397,Moscow,55.75222,37.61556,9800,1970,0.25788795
31,Seoul,37.56826,126.97783,9774,2015,0.257203758
32,BogotÃƒÂ¡,4.61,-74.08,9765,2015,0.256966922
20,Los Angeles,34.031656,-118.241716,9512,1980,0.250309202
12,Buenos Aires,-34.61,-58.4,9422,1980,0.247940844
33,Nagoya,35.18147,136.90641,9406,2015,0.247519802
7,Paris,48.856614,2.352222,9400,1975,0.247361912
34,Johannesburg,-26.20227,28.04363,9399,2015,0.247335596
35,Krung Thep (Bangkok),13.721964,100.525248,9270,2015,0.243940949
13,Calcutta,22.533455,88.356045,9030,1980,0.237625326
398,Mexico City,19.42847,-99.12766,9000,1970,0.236835873
36,Hyderabad,17.37528,78.47444,8944,2015,0.235362227
8,Los Angeles,34.052234,-118.243685,8900,1975,0.234204363
399,Paris,48.856614,2.352222,8875,1970,0.233546486
468,London,51.511214,-0.119825,8860,1950,0.233151759
18,Rio de Janeiro,-22.9,-43.21,8784,1980,0.231151812
37,Chicago,41.85003,-87.65005,8745,2015,0.230125523
