ID,Event,Date,Latitude,Longitude,Info
1,Parisii,-200,48.854722, 2.3475,"Ile de la Cite. Between 250 and 225 BC, during the Iron Age, the Parisii, a sub-tribe of the Celtic Senones, settled on the banks of the Seine. At the beginning of the 2nd century BC, they built an oppidum, a walled fort in Nanterre and bridges over the Seine. The settlement was called ""Lucotocia"" at this time. In 52 BC at the Battle of Lutetia, the Parisii and Romans battled, the Parisii were defeated and the Romans took control. The Romans built an entirely new city as a base for their soldiers and the Gallic auxiliaries with the intention of keeping an eye on Gaul. "
2,Romans,-52,48.8451,2.3528,"Roman Lutetia (52 BC-486 AD). The Arenes de Lutece is one of the oldest monuments in Paris; it was build during the 1st century. This old amphitheater in the Latin Quarter could host up to 15000 spectators. This is, with the Thermes de Cluny (Roman baths), the only remnant of the Gallo-roman era in Paris. When Lutèce was sacked during the barbarian raids of 275 AD, some of the structure's stone work was used to reinforce the city's defences around the Île de la Cité. "
3,Franks,558,48.853889,2.334444,"Abbey of Saint Germain des Pres. In 508 the first king of the Franks, Clovis I, made Paris the capital of his empire. In 987, the Capetian dynasty came to power until 1328. Saint Germain des Pres Church is one of the oldest Romanesque churches in France. King Childebert I founded the abbey in 558AD. He built Saint-Vincent-Sainte-Croix Basilica, as the church was then called, on the ruins of a Roman temple. The Normans destroyed the abbey when they besieged Paris in 885-886AD. The abbey and its church were rebuilt between 990 and 1021, however, were transformed over the centuries."
4,Middle Ages,1100,48.8606,2.3376,"The Louvre. Under the Franks Paris flourished. In 845 the Vikings raided Paris. The French king paid them 7,000 pounds of silver to leave. But from the 11th century onward Paris prospered again. In the Middle Ages Paris grew rapidly and it became one of the largest towns in Europe. Its population probably reached 200,000 (that might seem small to us but it was huge by Medieval standards). King Philippe-Auguste (1180-1223) built a wall around Paris. He also built the Louvre fortress. Originally built as the Louvre castle in the late 12th to 13th century under Philip II. Remnants of the fortress are visible in the basement of the museum. Now the biggest and most visited museum in world. "
5,Fortifications,1356,48.8532,2.3691,"Place de la Bastille. Between 1356 and 1383, King Charles V built a new wall of fortifications around the city. He also built the Bastille, a large fortress guarding the Porte Saint-Antoine at the eastern end of Paris, and an imposing new fortress at Vincennes, east of city. The Place de la Bastille is a square in Paris where the Bastille prison stood until the storming of the Bastille and its subsequent physical destruction between 14 July 1789 and 14 July 1790 during the French Revolution. No vestige of the prison remains. The July Column (Colonne de Juillet) which commemorates the events of the July Revolution (1830) stands at the center of the square. The structure was converted into a state prison in the 17th century by Richelieu, who was king Louis XIII's chief minister. At that time it primarily housed political prisoners, but also religious prisoners, ""seditious"" writers, and young rakes held at the request of their families. "
6,Gothic Style,1163,48.853,2.3499,"In the 12th and 13th centuries religious architecture flourished. The first stone of the choir of the cathedral of Notre Dame de Paris was laid in 1163, and the altar was consecrated in 1182. The cathedral was the heart of Catholic Paris for seven centuries and it remains the heart of the city today. One of the finest examples of French Gothic architecture and among the first buildings in the world to use the flying buttress, the Notre Dame Cathedral is known for its sublime balance, with its facade vertically balancing its 69-metre twin towers with the decorated galleries’ horizontal banding. While undergoing renovation and restoration, the roof of Notre-Dame caught fire on the evening of 15 April 2019. Burning for around 15 hours, the cathedral sustained serious damage."
7,Sainte Chapelle,1248,48.8554,2.345,"A jewel of the Rayonnant Gothic period, the 13th-century Sainte-Chapelle chapel is most famous for its 1113 stained-glass windows depicting scenes from the Old and New Testaments. The chapel was originally commissioned by King Louis IX, built to hold the French Catholic Church’s most prized relics, such as the Crown of Thorns. Sainte-Chapelle is a designated UNESCO world heritage site. "
8,University of Paris,1257,48.851111,2.340556,"Under Kings Louis VI and Louis VII, Paris became one of the principal centers of learning in Europe. Students, scholars and monks flocked to the city from England, Germany and Italy to engage in intellectual exchanges, to teach and be taught.  The University of Paris was originally organised in the mid-12th century as a guild or corporation of students and teachers. It was recognised by King Philip II in 1200 and officially recognised by Pope Innocent III, who had studied there, in 1215."
9,100 years war,1429,48.86194444,2.34027778,"In the middle of the 14th century, Paris was struck by two great catastrophes: the Bubonic plague and the Hundred Years' War. In the first epidemic of the plague in 1348-1349, forty to fifty thousand Parisians died, a quarter of the population. Towards th end of the 100 years war, on the 8th September - Joan of Arc, fighting for King Charles VII, tries and fails to retake Paris from the English. She is wounded outside the Porte Saint-Honoré (a city gate in Paris, the main entry point from the west). The English did not leave Paris until 1436, when Charles VII was finally able to return. Many areas of the capital of his kingdom were in ruins, and a hundred thousand of its inhabitants, half the population, had left the city."
10,Hotel de Ville,1533,48.856389,2.352222,"By 1500, Paris had regained its former prosperity, and the population reached 250,000. Each new king of France added buildings, bridges and fountains to embellish his capital, most of them in the new Renaissance style imported from Italy. On 15 July 1533, King Francis I laid the foundation stone for the first Hôtel de Ville, the city hall of Paris. It was designed by his favourite Italian architect, Domenico da Cortona, who also designed the Château de Chambord in the Loire Valley for the king. The Hôtel de Ville was not finished until 1628."
11,Pont Neuf,1607,48.857,2.3413,"Paris suffered greatly during the wars of religion of the 16th century; a third of the Parisians fled, many houses were destroyed, and the grand projects of the Louvre, the Hôtel de Ville, and the Tuileries Palace were unfinished. Henry IV took away the independence of the city government and ruled Paris directly through royal officers. Henry IV's building projects for Paris were managed by a Protestant, the Duke of Sully, his forceful superintendent of buildings and minister of finances who was named Grand Master of Artillery in 1599. Henry IV recommenced the construction of the Pont Neuf, started by Henry III in 1578, but left unfinished during the wars of religion. It was finished between 1600 and 1607."
12,Luxembourg Palace,1645,48.8483,2.3373," Henri IV was assassinated on 14 May 1610 by François Ravaillac, a Catholic fanatic. After his death, Henry IV's widow Marie de Medicis decided to build her own residence, the Luxembourg Palace (1615–1630), modelled after the Pitti Palace in her native Florence. As well as housing royals, the Palace has had a number of functions: it was the original royal art gallery and was even used as a prison during the French Revolution. From the beginning of the 19th century, however, it has mainly been used as the seat of the French Senate."
13,Les Invalides,1671,48.8551,2.3126,"In the late 17th century the crown passed to Louis XIV when he was a child. Parisian politics forced him and his mother to flee Paris on two occasions giving him a lifelong distrust of Paris. His royal residence became the Palace in Versailles. Despite his suspicion, Paris prospered, reaching a population of between 400,000 and 500,000. The appointed a new Superintendent of Buildings, Jean-Baptiste Colbert, who began an ambitious building programme to make Paris the successor to ancient Rome. One of the many buildings commissioned by Colbert was the iconic Les Invalides. Les Invalides is a huge complex of buildings that include a hospital and retirement home for war veterans and features monuments and museums that tell the military history of France. The great emperor Napoleon Bonaparte, the brilliant statesman and military leader who conquered much of Europe in the early 19th century, rests inside the Dôme des Invalides, along with some of France’s war heroes."
14,Place de la Concorde,1776,48.8656,2.3212,"Between 1640 and 1789, Paris grew in population from 400,000 to 600,000. Under Louis XV, the city expanded westward. A new boulevard, the Champs-Élysées, was laid out, at one end a large square was created between 1766 and 1775, with an equestrian statue of Louis XV in the center. It was first called ""Place Louis XV"", then the ""Place de la Révolution"" after 10 August 1792, and finally the Place de la Concorde in 1795."
15,Café Procope,1686,48.852496,2.338811,"In the 18th century, Paris was the center of an explosion of philosophic and scientific activity known as the Age of Enlightenment. The first café in Paris had been opened in 1672, and by the 1720s there were around 400 cafés in the city. They became meeting places for the city's writers and scholars. The Café Procope was frequented by Voltaire, Jean-Jacques Rousseau, Diderot and d’Alembert. They became important centres for exchanging news, rumors and ideas, often more reliable than the newspapers of the day."
